"obs","pred"
0,1.18195083601428
3,1.37389097759659
5,4.16574125271476
3,2.37474007556859
4,3.78401437861106
4,3.77025019491137
0,1.85447495792756
3,2.98104125183128
4,3.52548553914052
0,1.40768543551418
4,3.78365538042573
4,2.8616888515263
5,4.74937266083688
4,3.97189898657687
0,2.28814072446669
3,3.59371185573182
2,2.22884274795958
0,0.695730239937398
1,1.55109346368198
0,1.85782027785747
6,5.7312291150921
3,3.15956953029978
3,2.98015994924371
5,5.11683075374911
0,1.8251367304303
2,3.03916869637712
1,1.62572376798601
1,1.60778237183119
5,4.63149046981313
0,1.56538972308883
5,5.13161153049512
3,3.46878945483196
3,3.00582813064134
4,2.97745627802127
2,3.11826412286706
4,3.98315425336137
3,2.29588783155976
5,3.75979108892775
3,0.945890190931681
3,2.88328409735424
4,4.49785645606146
6,5.60092564100033
5,4.62182987623008
4,2.74480970738717
4,1.01134662465691
2,2.23898436467449
4,2.14127445611913
5,1.27414426361192
4,4.08640629004134
0,0.901160329501118
2,1.0016209689338
4,1.21663578865034
4,3.64198667073831
0,1.37395860403839
4,1.2661296426057
0,3.40447394883639
3,0.951000835955229
4,4.23568995280876
7,5.61288814359637
0,1.2095057021505
5,3.79055926483465
0,2.77889596052869
3,1.09894666756901
3,2.78943873928727
0,3.68938423133751
0,2.37133750573823
5,1.67322656250025
4,2.88802206016618
0,1.34935185852143
5,3.56971780633662
5,2.98125497184507
2,2.25938135830463
3,2.83948043903411
0,2.87883777512565
4,3.03465233743366
4,4.17124697638449
3,1.24711489619738
0,1.52715082241756
5,5.00758272486826
3,3.22643717267804
3,3.71836944024191
7,5.33196206639134
5,4.26688004873896
4,3.01362561215509
4,3.76879032446113
4,4.1869512066413
6,5.91782380234113
0,1.26178202935258
5,4.46833704509453
0,1.35125670145302
5,1.00725702192826
4,3.08587714326421
0,1.59144123579976
5,3.83523518815359
5,5.16452849804437
0,3.35757038900669
5,3.91806353097916
0,0.8987432913158
0,1.35947180820758
3,2.97170761600002
5,4.5349236458556
6,1.62767089146727
5,3.72558066882471
3,3.99053037979949
3,3.82604501446878
5,3.85568137700167
3,1.00708358355078
4,4.07883351476663
3,2.90218743762592
4,3.66793783445165
4,2.24448481592622
2,0.91439823785429
4,3.72867810399377
4,4.10365666577228
0,1.19460346047909
4,2.93684383732921
2,2.30400484415884
5,6.18772767989869
0,5.43877528279176
0,3.74335029856988
4,3.84462385418665
3,2.68473649371886
3,3.07018887544234
5,3.03128316767768
3,4.03857095363318
0,1.49489158990268
2,2.2754653399434
0,1.29130372312748
0,1.25468139509895
4,4.25910223267039
2,2.94794278162732
2,1.27392051608562
0,1.36030627226849
0,1.28241000211132
4,3.91159802759544
6,4.31049315842031
4,2.74594121896683
4,4.24247661194082
3,3.73471803558057
4,3.84248894202279
4,2.22079464528589
6,5.61809470220579
4,3.32439923690683
0,1.28930354680229
2,1.57021446864765
0,0.644211148162154
0,1.51451631297285
4,3.53476194335785
2,2.21214878658414
5,3.69882578551314
0,1.60618284544781
4,1.50625970801809
5,5.94059526798681
4,3.06147584536974
4,4.31152506970883
4,4.1000899259214
5,4.52369174098022
3,1.24814070137213
3,2.93324693939046
4,2.2635484958414
0,1.37691817429846
4,4.07919821060282
0,1.50018472256657
5,5.9896881801332
5,4.55690978457606
5,4.46495047950093
4,2.96372499853549
4,4.33457938681919
0,1.44959295192058
3,2.75843193555494
3,1.2446051127686
4,4.95737302563378
4,4.22952008397456
0,1.26961687839631
3,4.22649935544446
3,1.28660332630215
6,5.80087466239054
6,4.4539617976082
2,3.64000143356017
0,1.5472851960518
2,2.00397550105417
0,2.62487774228038
3,3.00374953934119
2,0.852636043247753
5,4.85406131281823
0,2.3632232300291
5,3.52266738655744
2,1.52668362411958
0,1.50250772834185
0,1.14553497758448
5,4.30782463358126
4,2.95811813486523
5,5.55863756771215
5,5.72022196319129
3,2.26376845472421
4,3.86780520664065
4,5.26042778982389
5,3.88490754530108
3,3.40904134022132
3,2.22407564994492
4,3.56774269459879
0,4.06232261938457
4,2.85156464543182
5,2.32307415641549
0,3.45109486104989
6,6.59570397970181
3,0.804710074141325
4,2.94812342555782
3,2.85048269912755
3,2.79690951889324
3,3.09982038757085
6,5.65824104605562
2,2.33537897765123
3,2.88161506009942
0,1.08991821394072
0,0.918609005784449
0,1.31331911315553
6,1.570370081457
3,3.85066488658341
0,1.01674788124442
3,3.74746643607017
0,2.94783820148464
5,3.73210950680953
4,2.87607517210412
4,4.17612930421486
2,2.1593419727509
6,4.80977870833371
5,3.15412220660656
4,4.25398060129951
0,1.20999243338394
5,4.45363744796184
1,2.21564763874969
0,1.73729828165591
3,2.25546180807079
4,4.81692362932582
3,2.8121392261397
0,1.44360171794284
4,2.18939321185275
3,2.37283162901426
2,2.85595148429088
4,3.86814627369879
3,2.82037553591584
4,4.79284555340822
3,2.29522859547941
5,4.07942366509381
5,3.35484297690078
5,4.53524679078903
5,4.59184748500303
4,4.21715785322234
0,1.93022521596766
1,0.985768031300517
1,3.06279280909061
0,1.56540965216938
0,1.49655308229014
0,1.32303358139207
4,2.95888128165733
2,2.68981231664039
5,4.55436459530642
0,1.31977024105073
4,2.96185282931772
3,3.57685466384159
6,5.82291814469532
4,3.62626994979822
5,4.7285808675396
5,4.9877886080704
0,3.35607366520569
4,4.28794565854756
0,1.32964304327073
0,1.60134823210184
0,1.01251002475222
2,0.967159476411072
3,2.26437538649751
0,0.941850154781981
4,4.53147128243826
4,3.30840966773144
4,5.12070973263724
4,3.65448970785355
0,1.36114536179561
3,2.67681259795373
3,2.3031000898026
3,2.44842122157099
3,4.29250988981875
4,3.18863814104822
3,3.94549085520939
3,0.696645459821941
5,3.9103148208727
3,4.27744350835375
5,1.503156456184
0,1.20297865461334
2,1.2369505443717
5,4.89435266546515
3,2.81661908445144
5,4.63423518806241
0,1.17973878338333
4,4.49539726421545
0,1.26933570733408
6,6.41571723671582
0,1.5376855062356
0,1.20666451629669
4,4.70875989572426
5,4.62366002593
0,1.59030793343301
5,4.62246926865501
0,2.88402915423465
3,1.50575413640689
6,6.07847467112567
4,1.31942484698797
3,3.08954319192503
3,2.7695252548751
0,1.45949443790561
5,3.95448005216521
4,5.14953575982502
5,4.86513297143054
0,1.47545044788805
4,4.64832911992665
2,2.67757812705343
3,2.81071757128257
4,3.89095159619452
3,3.49805612644467
2,0.699738697540231
3,4.02094116252785
3,0.970401585687328
0,1.33968122657392
4,3.62203668113137
3,2.76318286803699
4,3.94988391621147
6,4.39695067449293
0,0.974106681496018
4,3.78534905192656
6,4.87973115677311
4,3.87457699269423
1,0.965541508582528
0,0.930833733154426
3,4.11619082839678
1,2.30810775655751
6,6.26870587368042
0,1.20380951806383
0,1.27108936591915
3,2.98973071084018
8,6.41357755241754
0,1.17553339685913
5,3.15462513135456
2,0.839790370711416
0,0.832305330299841
0,1.78252645788188
2,3.55417739270968
0,1.47849084706115
3,3.62993490106195
1,2.62178880634803
3,3.19003702852989
4,4.05324334280655
2,1.93294473492643
5,4.47496574061359
4,3.75349465655321
3,3.72640565268879
3,1.2609126473638
6,5.18773831721009
0,1.13383118728696
3,2.84472531025821
4,3.57760719920841
0,0.943879442965601
6,5.34953014861285
5,4.98045713331274
6,3.84752319279299
3,2.03106562808077
4,3.72619845636578
4,1.23430167222947
3,1.23806843446605
5,3.7191278994768
3,2.87307999180648
5,5.33057403566749
5,5.17033976841486
6,5.88612927640517
2,0.980753910512528
5,4.3589593797157
4,4.33011437048928
5,5.12028889128817
3,1.27892311725205
4,5.02081774134752
4,3.76025917810175
2,2.85384499282135
4,3.9532600996443
0,1.5209131358867
3,3.00612781987362
5,4.25749697421226
0,1.33900696139712
4,1.30129311024909
0,1.23044137821464
3,2.34478577041422
3,3.04866853081068
6,5.42574504502799
0,1.26933272776898
0,1.26643835324554
0,3.5457278687659
4,3.67908336343368
0,1.28331326897105
4,4.32840308759397
4,3.30505654898948
0,1.16897805822251
3,3.7521676135896
3,3.65067642847277
5,3.82043514517213
5,3.67649151729649
5,4.3788487213391
5,4.34547104052449
0,0.984623272613497
3,3.353954469847
0,1.20123700987541
2,2.94446649753915
4,4.24282921361661
0,2.18162807541966
5,4.43740012679627
6,4.07979887773047
2,0.944020678993916
5,1.23395643178284
4,1.04347187124693
6,6.9484507199
4,3.81772914647248
5,5.1567792143755
4,2.86774275366381
2,2.14053929722568
2,2.09885131918798
4,3.80877074655028
6,4.70193737415688
3,3.88143665956918
4,4.78576633284985
3,2.92623497594556
0,0.880458550713513
5,5.02609093307827
5,5.16768239439028
3,0.823145747010915
0,1.32303739773481
4,1.49247147722994
5,2.30840342293277
3,2.89486411401973
4,3.90419190252208
6,1.51028230753298
4,3.98786515414823
3,2.28310147090649
6,4.62003407815675
4,3.54623986517309
4,1.55388534413399
5,5.75132358597472
2,2.22464148726123
3,1.25097705202153
6,6.05268227117946
3,2.79634402721642
5,4.646428682112
4,3.00278145870712
3,1.27932254473391
3,2.22402912696747
4,4.66412375165061
4,2.9658035591425
4,3.09036801613897
6,5.49908621060016
4,3.85697831705906
5,3.70647380360038
3,2.91919858818434
3,3.85558710219987
0,2.73335157425688
5,4.56686295624196
2,1.59903163383068
0,2.82771800750987
3,2.8144499234033
4,3.15989373862719
4,3.1457841203587
5,4.32261496162772
2,2.92250611356279
5,5.20921751441578
4,3.65745374276945
2,2.82590213324121
0,3.10081233152467
0,1.01555886231802
4,3.55886599972724
4,5.1705626476347
4,3.82046983344147
0,3.46513698727796
0,1.25281663142217
3,1.19761534381442
5,5.39745921415293
0,1.36332821363302
4,2.85368751022484
0,2.82243229239069
5,3.69531586928008
4,3.50362940128194
4,3.72814575614273
0,1.27774766405806
3,3.01633802288354
6,4.67388830690072
5,5.13508888152231
6,5.88601906041766
3,2.2641388278005
0,2.35645827954442
6,6.61872147266984
0,1.20747936223803
0,2.67213494508558
3,2.24161240888735
3,1.47610281192704
3,4.62888908343524
4,2.88775113054196
5,4.99880205055942
5,5.48046165661022
5,5.37202360166423
5,4.00239511082515
3,4.21019356114841
5,3.78222301677525
1,0.649021778410687
5,4.53545038136981
4,3.79758717143643
0,0.641227701064977
2,2.83943360622289
5,2.39713030727124
3,2.93659881489779
2,2.88571137442031
4,3.84118827324985
4,4.22677000141694
4,2.89727103780027
6,5.60915879956956
0,0.874460102489653
4,2.26680840390573
4,2.92474137387927
0,2.19806436013357
3,1.24977880949855
4,3.86392083815248
0,1.4703668091884
3,4.08328278550388
6,5.52774971715345
0,1.21594978846946
0,3.0782557157363
1,0.664528664001009
5,5.88175154384716
5,4.6012426542661
4,3.69605453471779
3,2.92948521287827
4,1.54277485381656
5,5.09445267055675
4,2.94273753793494
0,1.36486467930478
4,3.77821857502357
4,3.26763977231983
4,4.15899125474367
3,2.2575186289275
4,3.85580807926532
4,3.52441699761412
5,5.38965225945188
5,4.2222455658449
6,4.75694092988124
4,4.32141709030225
4,4.42847616905073
4,3.91303925284466
2,1.28429177610458
3,1.31219141789468
3,2.27776518642058
3,3.45251962221276
3,2.95027677052901
4,4.59596309223483
2,2.93559206329442
4,4.45474628099909
6,3.95483815059444
4,3.09061212350496
5,3.73060971634843
0,0.983229367352321
0,4.36854911324534
0,0.929117294081708
4,1.56710389370475
2,2.04156254391654
4,4.66269717286301
0,0.88181450388607
0,1.42706468338721
3,3.00156179736474
4,4.50972795460885
3,2.36454205617707
0,2.16825848663534
6,5.11402897067639
0,0.960353805666483
0,4.28791813868184
4,2.92589380436855
5,5.54261330633638
2,1.28016237606885
4,3.84438591127207
3,2.25484422573003
6,5.99877911481201
3,2.88097355185013
2,2.28798405317007
4,4.28240826225333
6,5.23208850025721
4,3.55053368972228
4,2.61979221914576
7,5.7592732832957
0,1.39505966428918
3,2.09089904607459
7,6.75707713242812
4,3.79315121086551
0,2.31250442963684
2,2.24611338316605
0,1.34931800860849
2,2.18410241917363
3,3.75493025333381
3,1.0237419669779
4,4.27211591891259
2,2.87190346059505
4,3.69749440135448
5,5.07692221088589
4,4.41269122381211
4,3.69340096118681
0,1.43995499509961
4,3.8912983339793
3,2.33204112003539
5,1.51542351631449
5,4.13562383743011
0,1.54277406346181
2,0.975170471473058
4,3.20618701687685
0,0.586610085653287
5,4.95381495747221
4,3.68657793024571
0,1.32047327102389
0,3.0679437647397
4,5.00269469244231
0,0.59074447623826
4,3.62036245104017
5,4.24849998125395
2,3.05110832879426
4,2.95545082492898
0,2.99557877840559
2,2.86438582097561
5,5.36018391680316
3,3.08174014258124
0,0.864081059532874
0,1.25873753797496
5,3.90997625016045
7,5.7333742382252
5,4.63559046136786
0,3.0590571312204
0,1.33067289422972
4,2.72271388942993
3,4.08622722922896
3,0.990242024781208
0,0.930775919592196
5,4.47281166739427
3,3.13003884786558
3,3.59099056554887
3,5.1084112115465
4,4.2396569822524
2,2.30153380798839
0,1.43656843109435
2,1.56043015437583
0,2.20623270764043
4,3.71123908599228
5,5.02321955039593
0,1.40811251296638
0,1.57897605257267
4,4.05615701520741
4,1.27245742275161
0,1.5396203921006
5,5.05661415043235
5,5.19071019075341
1,1.81640545780031
5,4.97287416681939
0,1.24411051340795
0,1.00116517935716
0,1.29554824096748
2,2.83804480842471
4,1.20629071580772
7,5.38412089981774
6,4.3701483549487
2,0.62568280745411
0,3.93394970806107
5,5.37550923528512
4,1.18361221401739
1,1.48606821923484
6,4.67299899082661
3,2.86928131139362
3,3.10099198174475
5,6.04785195586985
3,1.24914073066262
4,3.89540150550408
4,3.54717050712578
0,3.02621643472211
4,1.53796368195218
4,4.42678886506903
4,5.3257949432814
3,3.68603540968808
4,3.02138622695922
3,0.951262629527154
2,0.936573904521969
3,4.31876098570175
5,5.26562152518906
2,1.33628752471922
0,1.56502638945309
2,2.89795212812821
0,1.73500770259413
4,4.30742742536493
1,0.921941236090522
5,5.50133416815177
2,1.54737234346491
1,1.48893279542791
3,2.181223055849
0,1.53768718596787
4,3.00781958904618
3,3.36952235074756
4,4.78724398917486
0,0.980995531557311
6,5.25010007775314
5,3.55662427776235
2,1.32005939338908
5,3.81033304643399
4,4.00729961139375
3,2.72027867449565
0,0.631731128920332
4,5.21187660686073
5,4.45837726193787
4,2.77609171367087
3,3.63929654488538
5,4.1105765392989
4,4.26797217221177
3,2.7144942311792
3,3.20146641464866
0,2.87758205624585
1,0.968902734239092
0,1.13857568387387
3,2.17014844419929
3,4.11115392278566
2,2.20372027344013
3,1.9029905771894
4,4.36112056929801
2,1.23156953568366
5,4.3717064492798
3,3.78021833682863
6,5.19653780935285
3,0.952090910170448
0,1.19409250118315
4,2.90623889251442
4,3.68989051964041
4,1.54050806810295
5,3.94425829791377
3,1.30998018882231
5,4.84846533017672
4,3.77992613907657
4,3.37630653005269
5,5.02925977119817
0,1.56862193811236
3,2.29373271018301
4,1.68002744955377
6,5.02162213706981
0,0.660506500027793
3,3.34599358461995
4,3.94193770216558
5,5.22399200088596
2,2.87973426983724
2,0.94609662177812
3,0.650609641607108
0,0.969879977964967
3,1.52382220723115
3,2.71589806960276
5,2.37738312200592
4,4.35212526992278
0,1.30773918689794
0,0.895153928373346
4,4.83632978098508
2,0.968711428338005
5,4.59679569554144
0,1.32590679007847
0,1.57730178279568
0,0.984040856209793
0,1.5275250875029
6,4.1236527657703
2,1.22902522606425
1,2.92713754065719
3,3.86676496876045
4,3.75466960683375
2,0.933152323947336
5,4.06127928724933
3,3.22468814249972
4,4.58511257421524
0,0.978775738448193
6,4.48061838967106
3,1.32984142939077
4,4.65768872818344
0,1.31409758394785
0,2.61909691092882
1,0.582639666832714
4,3.13230051498426
4,3.52935549331352
4,3.83096660235917
0,2.97214872172893
0,3.79694281556155
3,2.64437870722509
0,1.52800690914017
6,4.19684339282764
4,3.95854196400095
5,5.6965825376804
3,2.45361994635309
0,1.07354028607814
0,1.29309444580288
4,3.72341220100174
4,3.58171054649947
3,2.82152798015057
5,1.28296726384994
1,1.4675468272345
2,1.60163622462624
2,0.945690800514473
5,3.08742924346953
4,1.35860169866631
5,3.67043306430145
0,1.7489360680294
4,1.59019947078843
4,3.74069332725506
3,2.21269929514466
4,3.04015647434541
4,2.83475666552644
6,5.59948910135784
0,1.21039305065075
4,1.40857175970641
0,1.28234187013113
0,1.59274183799407
5,4.60413557688762
1,0.65455975781974
4,4.49103909961813
0,1.52211436719711
4,3.35362248536573
